sigla_uf,cnae_2_subclasse,tipo_vinculo,valor_remuneracao_media,sexo,raca_cor,grau_instrucao_apos_2005,cbo_2002,id_municipio
RO,5231101,10,14574.23,1,2,7,411010,1100205
RO,5231101,10,2472.31,1,9,8,410105,1100205
RO,5231101,10,3450.05,2,2,9,351505,1100205
RO,5231102,10,1138.02,1,9,7,414215,1100205
RO,5231102,10,5512.44,2,9,9,351605,1100205
RO,5231102,10,3615.66,1,2,4,919105,1100205
RO,5231101,10,4928.63,2,2,9,410105,1100205
RO,5231102,10,1825.24,1,2,7,411005,1100205
RO,5231102,10,1659.36,1,8,7,783210,1100205
RO,5231102,10,1655.89,1,8,7,784205,1100205
RO,5231102,10,1967.76,1,2,7,517330,1100205
RO,5231102,10,2014.33,1,9,7,782220,1100205
RO,5231102,10,2590.43,1,8,5,784205,1100205
RO,5231102,10,1760.44,1,4,7,782220,1100205
RO,5231101,10,14295.43,1,9,9,122610,1100205
RO,5231102,10,2049.2,1,8,7,784205,1100205
RO,5231102,10,3556.57,1,8,9,951105,1100205
RO,5231102,10,2503.55,1,2,5,848425,1100205
RO,5231102,10,2030.35,2,2,7,784205,1100205
RO,5231101,10,0,1,9,7,351105,1100205
RO,5231102,55,534.34,2,8,6,411005,1100205
RO,5231102,10,6189.01,1,2,7,840105,1100205
RO,5231102,10,1442.21,1,8,7,784205,1100205
RO,5231102,55,536.37,1,2,5,411005,1100205
RO,5231102,10,1631.24,1,8,7,784205,1100205
RO,5231102,10,2696.29,2,8,9,351110,1100205
RO,5231102,10,0,1,2,7,784205,1100205
RO,5231102,10,3550,1,8,7,342610,1100205
RO,5231102,10,2065.48,1,6,7,784205,1100205
RO,5231102,10,7788.54,1,8,5,950105,1100205
RO,5231102,10,1159.8,1,2,7,784205,1100205
RO,5231101,10,5075.12,1,8,9,517325,1100205
RO,5231102,10,5420.5,1,8,6,252605,1100205
RO,5231101,10,0,1,9,9,411010,1100205
RO,5231102,10,6820.19,1,2,7,951105,1100205
RO,5231101,10,2624.18,1,9,5,410105,1100205
RO,5231102,10,0,2,2,7,411005,1100205
RO,5231102,10,4234.74,2,8,9,354205,1100205
RO,5231102,55,512.82,1,2,6,411005,1100205
RO,5231102,10,1642.07,1,8,7,414210,1100205
RO,5231102,10,1693.69,1,2,7,414215,1100205
RO,5231102,10,1442.07,1,9,7,783220,1100205
RO,5231102,10,2226.96,1,8,9,411010,1100205
RO,5231102,10,1457.02,1,8,7,784205,1100205
RO,5231102,10,1671.92,1,8,7,784205,1100205
RO,5231102,10,2843.32,1,2,4,911305,1100205
RO,5231102,10,2656.19,1,2,7,783220,1100205
RO,5231102,10,1705.17,1,2,7,784205,1100205
RO,5231102,10,1166.36,1,4,6,783225,1100205
RO,5231102,10,1860.85,1,2,7,411010,1100205
RO,5231102,10,1515.62,1,8,8,784205,1100205
RO,5231102,10,2412.8,1,8,7,784205,1100205
RO,5231102,55,522.5,2,8,7,411005,1100205
RO,5231102,10,2056.28,1,9,7,783220,1100205
RO,5231102,10,1165.87,1,8,7,783225,1100205
RO,5231101,10,5765.73,1,2,8,517325,1100205
RO,5231102,10,1926.55,1,8,7,784205,1100205
RO,5231101,10,3495.21,2,2,9,252305,1100205
RO,5231102,10,1271.23,2,2,7,411005,1100205
RO,5231102,10,3034.66,1,8,8,848425,1100205
RO,5231101,10,5826.26,1,8,7,517325,1100205
RO,5231102,10,3123.75,1,8,7,784205,1100205
RO,5231102,10,1715.42,1,8,7,784205,1100205
RO,5231101,10,2422.73,2,9,9,252305,1100205
RO,5231101,10,4537.56,1,8,9,241040,1100205
RO,5231101,10,5098.55,2,2,9,410105,1100205
RO,5231102,10,1718.16,1,8,7,517330,1100205
RO,5231102,10,2541.2,1,8,7,784205,1100205
RO,5231102,10,2386.48,1,8,7,784205,1100205
RO,5231102,10,1832.91,1,8,7,517330,1100205
RO,5231102,10,1128,1,9,7,514320,1100205
RO,5231102,10,5091.33,1,2,7,910105,1100205
RO,5231101,10,2513,1,8,7,410105,1100205
RO,5231102,10,1381.59,1,4,7,784205,1100205
RO,5231102,10,2685.83,1,8,7,391130,1100205
RO,5231102,10,1731.14,1,8,7,784205,1100205
RO,5231102,10,1483.91,1,8,7,784205,1100205
RO,5231102,10,3522.39,1,8,9,225140,1100205
RO,5231102,10,4612.21,1,8,8,951105,1100205
RO,5231102,10,1174.78,1,4,7,783225,1100205
RO,5231102,10,1729.95,1,8,6,784205,1100205
RO,5231102,10,2763.59,1,8,7,391130,1100205
RO,5231101,10,6649.04,1,8,7,517335,1100205
RO,5231101,10,5656.52,1,9,9,351505,1100205
RO,5231102,10,9014.72,1,8,4,342610,1100205
RO,5231102,10,1643.24,2,8,9,411010,1100205
